date,datetime,SACTMIN,SPOSTMIN
07/03/2018,2018-07-03 07:23:06,,10
07/03/2018,2018-07-03 07:29:06,,55
07/03/2018,2018-07-03 07:37:07,,55
07/03/2018,2018-07-03 07:44:06,,55
07/03/2018,2018-07-03 07:50:28,7,
07/03/2018,2018-07-03 07:51:07,,55
07/03/2018,2018-07-03 07:58:08,,55
07/03/2018,2018-07-03 08:02:07,,25
07/03/2018,2018-07-03 08:09:06,,25
07/03/2018,2018-07-03 08:16:06,,35
07/03/2018,2018-07-03 08:23:06,,45
07/03/2018,2018-07-03 08:29:06,,45
07/03/2018,2018-07-03 08:37:06,,45
07/03/2018,2018-07-03 08:44:06,,40
07/03/2018,2018-07-03 08:51:07,,40
07/03/2018,2018-07-03 08:58:06,,30
07/03/2018,2018-07-03 09:02:07,,30
07/03/2018,2018-07-03 09:09:06,,30
07/03/2018,2018-07-03 09:16:07,,30
07/03/2018,2018-07-03 09:22:41,,55
07/03/2018,2018-07-03 09:23:07,,55
07/03/2018,2018-07-03 09:29:07,,55
07/03/2018,2018-07-03 09:37:06,,55
07/03/2018,2018-07-03 09:44:06,,55
07/03/2018,2018-07-03 09:50:40,27,
07/03/2018,2018-07-03 09:51:07,,45
07/03/2018,2018-07-03 09:58:06,,45
07/03/2018,2018-07-03 10:02:08,,45
07/03/2018,2018-07-03 10:09:06,,45
07/03/2018,2018-07-03 10:16:06,,60
07/03/2018,2018-07-03 10:23:07,,60
07/03/2018,2018-07-03 10:29:06,,60
07/03/2018,2018-07-03 10:37:06,,60
07/03/2018,2018-07-03 10:44:07,,60
07/03/2018,2018-07-03 10:51:07,,50
07/03/2018,2018-07-03 10:58:07,,50
07/03/2018,2018-07-03 11:02:06,,50
07/03/2018,2018-07-03 11:09:06,,50
07/03/2018,2018-07-03 11:16:08,,50
07/03/2018,2018-07-03 11:23:07,,50
07/03/2018,2018-07-03 11:29:06,,50
07/03/2018,2018-07-03 11:37:07,,50
07/03/2018,2018-07-03 11:44:07,,50
07/03/2018,2018-07-03 11:51:07,,50
07/03/2018,2018-07-03 11:57:35,,50
07/03/2018,2018-07-03 11:58:08,,50
07/03/2018,2018-07-03 12:02:07,,50
07/03/2018,2018-07-03 12:09:07,,50
07/03/2018,2018-07-03 12:16:09,,40
07/03/2018,2018-07-03 12:23:07,,40
07/03/2018,2018-07-03 12:29:06,,40
07/03/2018,2018-07-03 12:37:07,,40
07/03/2018,2018-07-03 12:38:58,,70
07/03/2018,2018-07-03 12:44:06,,50
07/03/2018,2018-07-03 12:51:07,,60
07/03/2018,2018-07-03 12:58:07,,60
07/03/2018,2018-07-03 13:02:07,,45
07/03/2018,2018-07-03 13:09:07,,45
07/03/2018,2018-07-03 13:16:07,,45
07/03/2018,2018-07-03 13:23:07,,50
07/03/2018,2018-07-03 13:29:06,,45
07/03/2018,2018-07-03 13:37:06,,45
07/03/2018,2018-07-03 13:44:06,,55
07/03/2018,2018-07-03 13:51:06,,45
07/03/2018,2018-07-03 13:58:07,,45
07/03/2018,2018-07-03 14:02:07,,50
07/03/2018,2018-07-03 14:09:06,,50
07/03/2018,2018-07-03 14:16:07,,40
07/03/2018,2018-07-03 14:23:06,,60
